"country","code","name","code_2","count_song","year","gender","count_album","count_artist"
"AE","ARE","United Arab Emirates","AE",7,2008,"Group",1,0
"AR","ARG","Argentina","AR",13,1968,"Female",1,0
"AR","ARG","Argentina","AR",11,1971,"Male",1,2
"AR","ARG","Argentina","AR",12,1971,"Group",1,4
"AR","ARG","Argentina","AR",12,1972,"Female",1,0
"AR","ARG","Argentina","AR",6,1972,"Group",1,1
"AR","ARG","Argentina","AR",10,1973,"Male",1,3
"AR","ARG","Argentina","AR",16,1973,"Group",2,0
"AR","ARG","Argentina","AR",13,1976,"Male",1,0
"AR","ARG","Argentina","AR",21,1976,"Group",3,2
"AR","ARG","Argentina","AR",8,1977,"Male",1,2
"AR","ARG","Argentina","AR",4,1977,"Group",1,0
"AR","ARG","Argentina","AR",3,1978,"Group",1,2
"AR","ARG","Argentina","AR",10,1979,"Group",1,1
"AR","ARG","Argentina","AR",34,1981,"Male",3,1
"AR","ARG","Argentina","AR",15,1981,"Group",1,3
"AR","ARG","Argentina","AR",21,1982,"Male",2,0
"AR","ARG","Argentina","AR",11,1982,"Group",1,1
"AR","ARG","Argentina","AR",31,1983,"Male",3,0
"AR","ARG","Argentina","AR",16,1983,"Group",2,2
"AR","ARG","Argentina","AR",20,1984,"Male",2,1
"AR","ARG","Argentina","AR",30,1984,"Group",3,1
"AR","ARG","Argentina","AR",46,1985,"Male",5,0
"AR","ARG","Argentina","AR",29,1985,"Group",3,5
"AR","ARG","Argentina","AR",18,1986,"Male",2,0
"AR","ARG","Argentina","AR",9,1986,"Group",1,3
"AR","ARG","Argentina","AR",11,1987,"Male",1,0
"AR","ARG","Argentina","AR",32,1987,"Group",3,8
"AR","ARG","Argentina","AR",30,1988,"Male",3,0
"AR","ARG","Argentina","AR",30,1988,"Group",3,9
"AR","ARG","Argentina","AR",37,1989,"Male",3,0
"AR","ARG","Argentina","AR",65,1989,"Group",7,2
"AR","ARG","Argentina","AR",24,1990,"Male",2,0
"AR","ARG","Argentina","AR",39,1990,"Group",4,7
"AR","ARG","Argentina","AR",15,1991,"Male",1,0
"AR","ARG","Argentina","AR",78,1991,"Group",8,3
"AR","ARG","Argentina","AR",10,1992,"Male",1,0
"AR","ARG","Argentina","AR",63,1992,"Group",5,4
"AR","ARG","Argentina","AR",12,1993,"Female",1,0
"AR","ARG","Argentina","AR",29,1993,"Male",2,0
"AR","ARG","Argentina","AR",72,1993,"Group",5,9
"AR","ARG","Argentina","AR",46,1994,"Male",4,0
"AR","ARG","Argentina","AR",88,1994,"Group",7,9
"AR","ARG","Argentina","AR",16,1995,"Female",1,0
"AR","ARG","Argentina","AR",29,1995,"Male",2,0
"AR","ARG","Argentina","AR",145,1995,"Group",9,10
"AR","ARG","Argentina","AR",37,1996,"Female",3,0
"AR","ARG","Argentina","AR",48,1996,"Male",3,0
"AR","ARG","Argentina","AR",137,1996,"Group",9,8
"AR","ARG","Argentina","AR",12,1997,"Female",1,0
"AR","ARG","Argentina","AR",84,1997,"Male",5,0
"AR","ARG","Argentina","AR",137,1997,"Group",10,6
"AR","ARG","Argentina","AR",17,1998,"Female",1,0
"AR","ARG","Argentina","AR",16,1998,"Male",1,0
"AR","ARG","Argentina","AR",122,1998,"Group",10,3
"AR","ARG","Argentina","AR",40,1999,"Male",3,0
"AR","ARG","Argentina","AR",159,1999,"Group",11,3
"AR","ARG","Argentina","AR",150,2000,"Male",5,0
"AR","ARG","Argentina","AR",184,2000,"Group",13,9
"AR","ARG","Argentina","AR",170,2001,"Male",10,0
"AR","ARG","Argentina","AR",77,2001,"Group",6,6
"AR","ARG","Argentina","AR",75,2002,"Male",5,0
"AR","ARG","Argentina","AR",66,2002,"Group",5,7
"AR","ARG","Argentina","AR",55,2003,"Male",4,0
"AR","ARG","Argentina","AR",157,2003,"Group",12,4
"AR","ARG","Argentina","AR",63,2004,"Male",5,0
"AR","ARG","Argentina","AR",132,2004,"Group",9,0
"AR","ARG","Argentina","AR",79,2005,"Male",5,0
"AR","ARG","Argentina","AR",107,2005,"Group",9,1
"AR","ARG","Argentina","AR",79,2006,"Male",6,0
"AR","ARG","Argentina","AR",173,2006,"Group",14,1
"AR","ARG","Argentina","AR",63,2007,"Male",5,0
"AR","ARG","Argentina","AR",212,2007,"Group",16,3
"AR","ARG","Argentina","AR",49,2008,"Male",3,0
"AR","ARG","Argentina","AR",108,2008,"Group",8,0
"AR","ARG","Argentina","AR",14,2009,"Male",1,0
"AR","ARG","Argentina","AR",51,2009,"Group",4,0
"AR","ARG","Argentina","AR",45,2010,"Male",4,0
"AR","ARG","Argentina","AR",87,2010,"Group",6,1
"AR","ARG","Argentina","AR",27,2011,"Group",2,0
"AR","ARG","Argentina","AR",12,2012,"Male",1,0
"AT","AUS","Australia","AU",14,1961,"Male",1,2
"AT","AUS","Australia","AU",10,1963,"Female",1,0
"AT","AUS","Australia","AU",12,1963,"Male",1,0
"AT","AUS","Australia","AU",15,1965,"Male",1,3
"AT","AUS","Australia","AU",21,1966,"Male",1,3
"AT","AUS","Australia","AU",10,1968,"Male",1,2
"AT","AUS","Australia","AU",13,1968,"Group",1,0
"AT","AUS","Australia","AU",14,1971,"Male",1,0
"AT","AUS","Australia","AU",25,1972,"Male",2,1
"AT","AUS","Australia","AU",27,1973,"Male",2,2
"AT","AUS","Australia","AU",12,1974,"Male",1,2
"AT","AUS","Australia","AU",24,1975,"Male",2,3
"AT","AUS","Australia","AU",30,1976,"Male",2,5
"AT","AUS","Australia","AU",9,1976,"Group",1,5
"AT","AUS","Australia","AU",10,1977,"Male",1,2
"AT","AUS","Australia","AU",65,1977,"Group",1,8
"AT","AUS","Australia","AU",45,1978,"Male",4,3
"AT","AUS","Australia","AU",11,1978,"Group",1,8
"AT","AUS","Australia","AU",28,1979,"Male",2,1
"AT","AUS","Australia","AU",11,1979,"Group",1,7
"AT","AUS","Australia","AU",38,1980,"Male",3,0
"AT","AUS","Australia","AU",59,1981,"Male",3,4
"AT","AUS","Australia","AU",12,1981,"Group",1,6
"AT","AUS","Australia","AU",10,1982,"Male",1,8
"AT","AUS","Australia","AU",10,1983,"Female",1,5
"AT","AUS","Australia","AU",21,1983,"Male",2,1
"AT","AUS","Australia","AU",26,1984,"Male",2,0
"AT","AUS","Australia","AU",21,1985,"Male",2,0
"AT","AUS","Australia","AU",21,1985,"Group",1,5
"AT","AUS","Australia","AU",21,1986,"Male",2,2
"AT","AUS","Australia","AU",10,1986,"Group",1,5
