"country","code","name","code_2","count","publicationDateAlbum"
"AE","ARE","United Arab Emirates","AE",7,2008
"AR","ARG","Argentina","AR",13,1968
"AR","ARG","Argentina","AR",23,1971
"AR","ARG","Argentina","AR",18,1972
"AR","ARG","Argentina","AR",26,1973
"AR","ARG","Argentina","AR",34,1976
"AR","ARG","Argentina","AR",12,1977
"AR","ARG","Argentina","AR",3,1978
"AR","ARG","Argentina","AR",10,1979
"AR","ARG","Argentina","AR",49,1981
"AR","ARG","Argentina","AR",32,1982
"AR","ARG","Argentina","AR",47,1983
"AR","ARG","Argentina","AR",50,1984
"AR","ARG","Argentina","AR",75,1985
"AR","ARG","Argentina","AR",27,1986
"AR","ARG","Argentina","AR",43,1987
"AR","ARG","Argentina","AR",60,1988
"AR","ARG","Argentina","AR",102,1989
"AR","ARG","Argentina","AR",63,1990
"AR","ARG","Argentina","AR",93,1991
"AR","ARG","Argentina","AR",73,1992
"AR","ARG","Argentina","AR",113,1993
"AR","ARG","Argentina","AR",134,1994
"AR","ARG","Argentina","AR",190,1995
"AR","ARG","Argentina","AR",222,1996
"AR","ARG","Argentina","AR",233,1997
"AR","ARG","Argentina","AR",155,1998
"AR","ARG","Argentina","AR",199,1999
"AR","ARG","Argentina","AR",334,2000
"AR","ARG","Argentina","AR",247,2001
"AR","ARG","Argentina","AR",141,2002
"AR","ARG","Argentina","AR",212,2003
"AR","ARG","Argentina","AR",195,2004
"AR","ARG","Argentina","AR",186,2005
"AR","ARG","Argentina","AR",252,2006
"AR","ARG","Argentina","AR",275,2007
"AR","ARG","Argentina","AR",157,2008
"AR","ARG","Argentina","AR",65,2009
"AR","ARG","Argentina","AR",132,2010
"AR","ARG","Argentina","AR",27,2011
"AR","ARG","Argentina","AR",12,2012
"AT","AUS","Australia","AU",14,1961
"AT","AUS","Australia","AU",22,1963
"AT","AUS","Australia","AU",15,1965
"AT","AUS","Australia","AU",21,1966
"AT","AUS","Australia","AU",23,1968
"AT","AUS","Australia","AU",14,1971
"AT","AUS","Australia","AU",25,1972
"AT","AUS","Australia","AU",27,1973
"AT","AUS","Australia","AU",12,1974
"AT","AUS","Australia","AU",24,1975
"AT","AUS","Australia","AU",39,1976
"AT","AUS","Australia","AU",75,1977
"AT","AUS","Australia","AU",56,1978
"AT","AUS","Australia","AU",39,1979
"AT","AUS","Australia","AU",38,1980
"AT","AUS","Australia","AU",71,1981
"AT","AUS","Australia","AU",10,1982
"AT","AUS","Australia","AU",31,1983
"AT","AUS","Australia","AU",26,1984
"AT","AUS","Australia","AU",42,1985
"AT","AUS","Australia","AU",31,1986
"AT","AUS","Australia","AU",20,1987
"AT","AUS","Australia","AU",47,1988
"AT","AUS","Australia","AU",35,1989
"AT","AUS","Australia","AU",91,1990
"AT","AUS","Australia","AU",129,1991
"AT","AUS","Australia","AU",74,1992
"AT","AUS","Australia","AU",55,1993
"AT","AUS","Australia","AU",71,1994
"AT","AUS","Australia","AU",143,1995
"AT","AUS","Australia","AU",117,1996
"AT","AUS","Australia","AU",80,1997
"AT","AUS","Australia","AU",116,1998
"AT","AUS","Australia","AU",153,1999
"AT","AUS","Australia","AU",80,2000
"AT","AUS","Australia","AU",115,2001
"AT","AUS","Australia","AU",118,2002
"AT","AUS","Australia","AU",97,2003
"AT","AUS","Australia","AU",200,2004
"AT","AUS","Australia","AU",161,2005
"AT","AUS","Australia","AU",209,2006
"AT","AUS","Australia","AU",245,2007
"AT","AUS","Australia","AU",259,2008
"AT","AUS","Australia","AU",169,2009
"AT","AUS","Australia","AU",82,2010
"AT","AUS","Australia","AU",84,2011
"AT","AUS","Australia","AU",51,2012
"AT","AUS","Australia","AU",94,2013
"AT","AUS","Australia","AU",13,2014
"AT","AUS","Australia","AU",35,2015
"AU","AUT","Austria","AT",36,1965
"AU","AUT","Austria","AT",61,1966
"AU","AUT","Austria","AT",24,1967
"AU","AUT","Austria","AT",32,1968
"AU","AUT","Austria","AT",8,1971
"AU","AUT","Austria","AT",52,1973
"AU","AUT","Austria","AT",19,1974
"AU","AUT","Austria","AT",21,1975
"AU","AUT","Austria","AT",44,1976
"AU","AUT","Austria","AT",30,1977
"AU","AUT","Austria","AT",28,1978
"AU","AUT","Austria","AT",95,1979
"AU","AUT","Austria","AT",68,1980
"AU","AUT","Austria","AT",41,1981
"AU","AUT","Austria","AT",49,1982
"AU","AUT","Austria","AT",43,1983
"AU","AUT","Austria","AT",34,1984
"AU","AUT","Austria","AT",23,1985
"AU","AUT","Austria","AT",79,1986
"AU","AUT","Austria","AT",59,1987
"AU","AUT","Austria","AT",126,1988
"AU","AUT","Austria","AT",123,1989
