Country,Album_Type,Gender,ID
A Coruña,Group,Unknown,1
Aarhus,Group,Unknown,1
Aberdeen,Person,Male,1
Adelaide,Group,Unknown,2
Adelaide,Person,Male,1
Aix-en-Provence,Group,Unknown,1
Aix-en-Provence,Person,Male,1
Ajax,Group,Unknown,1
Alabama,Group,Unknown,1
Albania,Person,Female,3
Albany,Group,Unknown,1
Alberta,Person,Male,1
Albertslund,Group,Unknown,1
Albuquerque,Person,Unknown,2
Algeria,Person,Female,1
Algeria,Person,Male,4
Alicante,Group,Unknown,2
Alicante,Person,Male,1
Allentown,Group,Unknown,1
Alpharetta,Person,Male,1
Alpine,Person,Female,1
Alpine,Person,Male,1
Altenburg,Group,Unknown,1
American Samoa,Group,Unknown,1
Amherst,Person,Male,1
Amsterdam,Group,Unknown,1
Amsterdam,Person,Male,2
Anchorage,Person,Male,1
Andalucía,Group,Unknown,1
Andhra Pradesh,Person,Male,1
Andorra,Group,Unknown,2
Angers,Group,Unknown,1
Anguilla,Person,Female,1
Ankara,Person,Male,1
Antioquia,Group,Unknown,1
Appleton,Person,Male,1
Argentina,Group,Unknown,196
Argentina,Person,Female,37
Argentina,Person,Male,102
Argentina,Person,Unknown,2
Arizona,Group,Unknown,1
Armenia,Group,Unknown,1
Armenia,Person,Female,1
Armenia,Person,Male,1
Asheville,Group,Unknown,4
Aspen,Person,Male,1
Astoria,Group,Unknown,1
Asturias,Group,Unknown,8
Athens,Group,Unknown,6
Athens,Person,Male,2
Atlanta,Group,Unknown,10
Atlanta,Person,Female,3
Atlanta,Person,Male,21
Auburn,Group,Unknown,1
Auckland,Group,Unknown,7
Augsburg,Group,Unknown,1
Augusta,Group,Unknown,1
Aurora,Group,Unknown,1
Austin,Group,Unknown,16
Austin,Person,Female,5
Austin,Person,Male,3
Australia,Choir,Unknown,1
Australia,Group,Unknown,501
Australia,Orchestra,Unknown,1
Australia,Person,Female,114
Australia,Person,Male,182
Australia,Person,Other,2
Australia,Person,Unknown,27
Australia,Unknown,Unknown,6
Australian Capital Territory,Group,Unknown,1
Austria,Group,Unknown,138
Austria,Orchestra,Unknown,1
Austria,Other,Unknown,1
Austria,Person,Female,22
Austria,Person,Male,77
Austria,Person,Unknown,2
Austria,Unknown,Unknown,2
Aveiro,Group,Unknown,1
Azerbaijan,Person,Female,2
Azerbaijan,Person,Unknown,1
Baden-Württemberg,Group,Unknown,2
Bahamas,Group,Unknown,2
Bahamas,Person,Male,3
Bahia,Group,Unknown,1
Bahia,Person,Male,1
Bahrain,Group,Unknown,1
Baltimore,Group,Unknown,6
Baltimore,Person,Male,3
Bamberg,Group,Unknown,1
Bandung,Group,Unknown,2
Bangalore,Group,Unknown,1
Bangladesh,Group,Unknown,3
Barbados,Group,Unknown,3
Barbados,Person,Female,2
Barbados,Person,Male,1
Barcelona,Group,Unknown,4
Barnsley,Group,Unknown,1
Basel,Group,Unknown,2
Basildon,Person,Female,1
Bath,Person,Female,1
Battle Ground,Group,Unknown,1
Bautzen,Group,Unknown,1
Bayern,Group,Unknown,3
Baytown,Group,Unknown,1
Bedford,Group,Unknown,1
Bedford–Stuyvesant,Group,Unknown,1
Beijing,Person,Female,1
Bel Air,Person,Male,3
Belarus,Group,Unknown,11
Belarus,Unknown,Unknown,1
Belfast,Person,Male,1
Belgium,Character,Male,1
Belgium,Group,Unknown,216
Belgium,Person,Female,47
Belgium,Person,Male,99
Belgium,Person,Unknown,15
Belgium,Unknown,Unknown,7
Belgrade,Group,Unknown,1
Belize,Group,Unknown,1
Belize,Person,Male,1
Bell Canyon,Person,Male,2
Bellingham,Group,Unknown,1
Benicia,Group,Unknown,1
Beograd,Group,Unknown,1
Bergen,Group,Unknown,4
Bergen,Person,Female,1
Bergen auf Rügen,Group,Unknown,1
Berkeley,Group,Unknown,1
Berlin,Group,Unknown,14
Berlin,Person,Female,6
Berlin,Person,Male,13
Berlin,Person,Unknown,1
Bermuda,Group,Unknown,1
Bermuda,Person,Female,1
Bermuda,Person,Male,1
Bern,Group,Unknown,2
Bern,Person,Male,3
Besançon,Group,Unknown,1
Besançon,Person,Male,1
Bethnal Green,Group,Unknown,1
Beverly Hills,Person,Female,1
Beverly Hills,Person,Male,6
Bexhill-on-Sea,Person,Male,1
Biała Podlaska,Group,Unknown,1
Białystok,Group,Unknown,1
Bielefeld,Group,Unknown,1
Billings,Person,Female,1
Birmingham,Group,Unknown,7
Birmingham,Person,Male,1
Black Oak,Person,Male,1
Blackpool,Group,Unknown,1
Bloomington,Group,Unknown,1
Boca Raton,Group,Unknown,1
Bogotá,Group,Unknown,4
Bogotá,Person,Male,1
Boise,Person,Male,1
Bolivia,Group,Unknown,4
Bolivia,Person,Male,1
Bologna,Group,Unknown,1
Bonn,Group,Unknown,2
Bordeaux,Group,Unknown,1
Borlänge,Group,Unknown,1
Bosnia and Herzegovina,Group,Unknown,4
Bosnia and Herzegovina,Person,Male,5
Boston,Group,Unknown,17
Boston,Person,Female,1
Boston,Person,Male,3
Bottrop,Group,Unknown,1
Boulder,Group,Unknown,1
Boulder,Person,Male,1
Bradford,Person,Female,1
Brantford,Person,Male,1
Brasília,Group,Unknown,1
Brazil,Group,Unknown,253
Brazil,Person,Female,102
Brazil,Person,Male,190
Brazil,Person,Unknown,12
Brazil,Unknown,Unknown,3
Brașov,Group,Unknown,1
Bremen,Group,Unknown,2
Bremen,Person,Male,1
Brentwood,Person,Male,1
Brescia,Group,Unknown,1
Bretagne,Group,Unknown,1
Bretagne,Person,Male,1
Bridgewater,Group,Unknown,1
Brighton,Group,Unknown,7
Brighton,Person,Male,6
Brighton and Hove,Group,Unknown,2
Brisbane,Group,Unknown,8
Brisbane,Person,Male,1
Bristol,Group,Unknown,3
Bristol,Person,Male,3
British Columbia,Person,Female,1
British Virgin Islands,Person,Male,2
Brno,Group,Unknown,1
Brooklyn,Group,Unknown,26
Brooklyn,Person,Female,6
Brooklyn,Person,Male,12
Brotterode-Trusetal,Group,Unknown,1
Brussels,Group,Unknown,4
Brussels,Person,Male,2
Buchholz in der Nordheide,Group,Unknown,1
Budapest,Person,Male,1
Buenos Aires,Group,Unknown,2
Buenos Aires,Person,Female,1
Buenos Aires,Person,Male,3
Buffalo,Group,Unknown,4
Bulgaria,Choir,Unknown,1
Bulgaria,Group,Unknown,5
Bulgaria,Person,Male,1
Burbank,Group,Unknown,1
Burgas,Group,Unknown,1
Burnley,Group,Unknown,1
Burundi,Person,Female,1
Bydgoszcz,Group,Unknown,1
Byron Bay,Group,Unknown,1
Bytom,Group,Unknown,1
Bío-Bío,Group,Unknown,1
Cairo,Group,Unknown,1
Calgary,Group,Unknown,1
Cali,Group,Unknown,1
California,Group,Unknown,15
California,Person,Female,2
California,Person,Male,8
California,Person,Unknown,1
California,Unknown,Unknown,1
Cambridge,Person,Male,1
Cameroon,Group,Unknown,1
Cameroon,Person,Female,2
Cameroon,Person,Male,3
Canada,Group,Unknown,865
Canada,Orchestra,Unknown,2
Canada,Person,Female,195
Canada,Person,Male,418
Canada,Person,Unknown,27
Canada,Unknown,Male,1
Canada,Unknown,Unknown,2
Canberra,Group,Unknown,1
Cape Town,Group,Unknown,1
Cape Verde,Person,Female,2
Cape Verde,Person,Male,1
Caracas,Person,Female,1
Cardiff,Group,Unknown,2
Cardiff,Person,Male,1
Carlisle,Group,Unknown,1
Carson City,Group,Unknown,1
Cascais,Group,Unknown,1
Castlebar,Person,Female,1
Castrop-Rauxel,Group,Unknown,1
Catalunya,Group,Unknown,9
Catalunya,Person,Male,2
Catanzaro,Group,Unknown,1
Cebu City,Group,Unknown,1
Cesena,Group,Unknown,1
Chandler,Group,Unknown,1
Chapel Hill,Group,Unknown,1
Charleston,Person,Male,1
Charlotte,Group,Unknown,3
Chennai,Person,Male,4
Chernogolovka,Group,Unknown,1
Cheshire East,Group,Unknown,1
Chicago,Group,Unknown,20
Chicago,Other,Male,1
Chicago,Person,Male,8
Chicago,Unknown,Unknown,1
Chile,Group,Unknown,55
Chile,Orchestra,Unknown,1
Chile,Person,Female,13
Chile,Person,Male,25
Chile,Person,Unknown,2
Chile,Unknown,Unknown,1
China,Group,Unknown,2
China,Person,Female,1
China,Person,Male,2
Cincinnati,Group,Unknown,3
Cincinnati,Person,Female,1
Cincinnati,Person,Male,1
City of Canterbury,Group,Unknown,1
Ciudad de México,Group,Unknown,5
Ciudad de México,Person,Male,1
Clenze,Group,Unknown,1
Cleveland,Group,Unknown,8
Cleveland,Person,Female,1
Cleveland,Person,Male,2
Clonakilty,Person,Male,1
Cobourg,Group,Unknown,1
Cologne,Group,Unknown,5
Cologne,Person,Male,2
Colombia,Group,Unknown,40
Colombia,Person,Female,8
Colombia,Person,Male,23
Colombia,Person,Unknown,5
Colombia,Unknown,Unknown,1
Colorado Springs,Group,Unknown,1
Colts Neck Township,Person,Female,1
Columbia,Group,Unknown,2
Columbus,Group,Unknown,5
Como,Group,Unknown,1
Compton,Person,Male,1
Comunidad Valenciana,Group,Unknown,1
Comunidad Valenciana,Unknown,Unknown,1
Comunidad de Madrid,Group,Unknown,1
Connecticut,Group,Unknown,1
Copenhagen,Group,Unknown,12
Copenhagen,Person,Female,1
Copenhagen,Person,Male,1
Corcoran,Person,Male,1
