"country","publicationDateAlbum","count_song"
"AE",2008,7
"AR",1968,13
"AR",1971,23
"AR",1972,18
"AR",1973,26
"AR",1976,34
"AR",1977,12
"AR",1978,3
"AR",1979,10
"AR",1981,49
"AR",1982,32
"AR",1983,47
"AR",1984,50
"AR",1985,75
"AR",1986,27
"AR",1987,43
"AR",1988,60
"AR",1989,102
"AR",1990,63
"AR",1991,93
"AR",1992,73
"AR",1993,113
"AR",1994,134
"AR",1995,190
"AR",1996,222
"AR",1997,233
"AR",1998,155
"AR",1999,199
"AR",2000,334
"AR",2001,247
"AR",2002,141
"AR",2003,212
"AR",2004,195
"AR",2005,186
"AR",2006,252
"AR",2007,275
"AR",2008,157
"AR",2009,65
"AR",2010,132
"AR",2011,27
"AR",2012,12
"AT",1961,14
"AT",1963,22
"AT",1965,15
"AT",1966,21
"AT",1968,23
"AT",1971,14
"AT",1972,25
"AT",1973,27
"AT",1974,12
"AT",1975,24
"AT",1976,39
"AT",1977,75
"AT",1978,56
"AT",1979,39
"AT",1980,38
"AT",1981,71
"AT",1982,10
"AT",1983,31
"AT",1984,26
"AT",1985,42
"AT",1986,31
"AT",1987,20
"AT",1988,47
"AT",1989,35
"AT",1990,91
"AT",1991,129
"AT",1992,74
"AT",1993,55
"AT",1994,71
"AT",1995,143
"AT",1996,117
"AT",1997,80
"AT",1998,116
"AT",1999,153
"AT",2000,80
"AT",2001,115
"AT",2002,118
"AT",2003,97
"AT",2004,200
"AT",2005,161
"AT",2006,209
"AT",2007,245
"AT",2008,259
"AT",2009,169
"AT",2010,82
"AT",2011,84
"AT",2012,51
"AT",2013,94
"AT",2014,13
"AT",2015,35
"AU",1965,36
"AU",1966,61
"AU",1967,24
"AU",1968,32
"AU",1971,8
"AU",1973,52
"AU",1974,19
"AU",1975,21
"AU",1976,44
"AU",1977,30
"AU",1978,28
"AU",1979,95
"AU",1980,68
"AU",1981,41
"AU",1982,49
"AU",1983,43
"AU",1984,34
"AU",1985,23
"AU",1986,79
"AU",1987,59
"AU",1988,126
"AU",1989,123
"AU",1990,206
"AU",1991,218
"AU",1992,163
"AU",1993,74
"AU",1994,227
"AU",1995,235
"AU",1996,245
"AU",1997,236
"AU",1998,358
"AU",1999,246
"AU",2000,452
"AU",2001,313
"AU",2002,444
"AU",2003,462
"AU",2004,760
"AU",2005,466
"AU",2006,640
"AU",2007,628
"AU",2008,665
"AU",2009,353
"AU",2010,387
"AU",2011,220
"AU",2012,166
"AU",2013,93
"AU",2014,49
"AU",2015,28
"BA",1995,10
"BA",2004,11
"BA",2006,10
"BE",1969,12
"BE",1978,36
"BE",1981,17
"BE",1982,23
"BE",1983,12
"BE",1984,11
"BE",1985,36
"BE",1986,50
"BE",1987,11
"BE",1988,54
"BE",1989,57
"BE",1990,110
"BE",1991,88
"BE",1992,74
"BE",1993,144
"BE",1994,25
"BE",1995,38
"BE",1996,58
"BE",1997,66
"BE",1998,64
"BE",1999,124
"BE",2000,103
"BE",2001,201
"BE",2002,177
"BE",2003,129
"BE",2004,154
"BE",2005,170
"BE",2006,232
"BE",2007,278
"BE",2008,128
"BE",2009,126
"BE",2010,187
"BE",2011,36
"BE",2012,39
"BE",2013,23
"BG",2003,9
"BG",2007,7
"BG",2008,16
"BR",1954,8
"BR",1955,8
"BR",1956,15
"BR",1957,24
"BR",1958,46
"BR",1959,26
"BR",1960,14
"BR",1961,36
"BR",1962,52
"BR",1963,48
"BR",1964,68
"BR",1965,107
"BR",1966,115
"BR",1967,146
"BR",1968,72
"BR",1969,146
"BR",1970,133
"BR",1971,108
"BR",1972,143
"BR",1973,159
"BR",1974,164
"BR",1975,137
"BR",1976,178
"BR",1977,137
"BR",1978,110
"BR",1979,83
"BR",1980,135
"BR",1981,118
"BR",1982,132
"BR",1983,69
"BR",1984,112
"BR",1985,152
"BR",1986,106
"BR",1987,175
"BR",1988,105
"BR",1989,195
"BR",1990,143
"BR",1991,200
"BR",1992,196
"BR",1993,306
"BR",1994,295
"BR",1995,301
"BR",1996,241
"BR",1997,306
"BR",1998,325
"BR",1999,339
"BR",2000,370
"BR",2001,336
"BR",2002,310
"BR",2003,337
"BR",2004,326
"BR",2005,472
"BR",2006,271
"BR",2007,289
"BR",2008,287
"BR",2009,206
"BR",2010,171
"BR",2011,113
"BR",2012,78
"BR",2013,47
"BR",2014,25
"BR",2015,36
"BY",2007,7
"BY",2009,10
"BY",2010,14
"CA",1960,12
"CA",1961,24
"CA",1964,16
"CA",1966,11
"CA",1967,49
"CA",1968,34
"CA",1969,103
"CA",1970,43
"CA",1971,44
"CA",1972,54
"CA",1973,28
"CA",1974,64
"CA",1975,84
"CA",1976,112
"CA",1977,60
"CA",1978,106
"CA",1979,104
"CA",1980,129
"CA",1981,183
"CA",1982,137
"CA",1983,181
"CA",1984,74
"CA",1985,145
"CA",1986,109
"CA",1987,170
"CA",1988,127
"CA",1989,167
"CA",1990,185
"CA",1991,206
"CA",1992,267
"CA",1993,429
"CA",1994,489
"CA",1995,466
"CA",1996,474
"CA",1997,560
"CA",1998,445
"CA",1999,511
"CA",2000,569
"CA",2001,610
"CA",2002,663
"CA",2003,536
"CA",2004,707
"CA",2005,923
"CA",2006,863
"CA",2007,929
"CA",2008,797
"CA",2009,876
"CA",2010,508
"CA",2011,284
"CA",2012,218
"CA",2014,54
"CA",2015,12
"CA",2016,12
"CH",1966,9
"CH",1967,7
"CH",1970,17
"CH",1971,13
"CH",1972,10
"CH",1976,20
"CH",1979,9
"CH",1984,8
"CH",1985,4
"CH",1987,23
"CH",1989,12
"CH",1991,48
"CH",1992,33
"CH",1993,33
"CH",1994,61
"CH",1995,42
"CH",1996,52
"CH",1997,60
"CH",1998,38
"CH",1999,49
"CH",2000,57
"CH",2001,81
"CH",2002,37
"CH",2003,121
"CH",2004,57
"CH",2005,64
"CH",2006,65
"CH",2007,74
"CH",2008,119
"CH",2009,64
"CH",2010,56
"CH",2011,26
"CH",2012,42
"CH",2015,12
"CL",1966,12
"CL",1989,10
"CL",1991,10
"CL",1992,15
"CL",1994,10
"CL",1995,24
"CL",1996,35
"CL",1997,27
"CL",1998,24
"CL",1999,24
"CL",2000,34
"CL",2001,18
"CL",2002,21
"CL",2003,61
"CL",2004,45
"CL",2005,75
"CL",2006,44
"CL",2007,43
"CL",2008,45
"CL",2009,13
"CL",2010,10
"CL",2011,54
"CL",2012,24
"CN",2004,12
"CO",1994,11
"CO",1997,12
"CO",2001,12
"CO",2003,13
"CO",2004,22
"CO",2006,23
"CO",2008,11
"CO",2009,15
"CS",1993,10
"CS",1997,9
"CS",1998,23
"CS",1999,11
"CS",2000,11
"CS",2001,26
"CS",2003,14
"CS",2005,21
"CZ",1966,12
"CZ",1993,51
"CZ",1994,50
"CZ",1995,91
"CZ",1996,95
"CZ",1997,41
"CZ",1998,78
"CZ",1999,59
"CZ",2000,81
"CZ",2001,66
"CZ",2002,87
"CZ",2003,127
"CZ",2004,83
"CZ",2005,83
"CZ",2006,158
"CZ",2007,89
"CZ",2008,53
"CZ",2009,118
"CZ",2010,25
"CZ",2011,11
"CZ",2012,45
"DE",1947,6
"DE",1958,18
"DE",1961,19
"DE",1962,24
"DE",1963,10
"DE",1964,47
"DE",1965,91
"DE",1966,70
"DE",1967,153
"DE",1968,137
"DE",1969,117
"DE",1970,299
"DE",1971,275
"DE",1972,268
"DE",1973,360
"DE",1974,243
"DE",1975,269
"DE",1976,233
"DE",1977,329
"DE",1978,359
"DE",1979,429
"DE",1980,357
"DE",1981,405
"DE",1982,437
"DE",1983,565
"DE",1984,583
"DE",1985,685
"DE",1986,710
"DE",1987,761
"DE",1988,810
"DE",1989,795
"DE",1990,1073
"DE",1991,1237
"DE",1992,1364
"DE",1993,1873
"DE",1994,2185
"DE",1995,2534
"DE",1996,2589
"DE",1997,2826
"DE",1998,2525
"DE",1999,2732
"DE",2000,2721
"DE",2001,3230
"DE",2002,3311
"DE",2003,3324
"DE",2004,4326
"DE",2005,4123
"DE",2006,4559
"DE",2007,4193
"DE",2008,4305
"DE",2009,3709
"DE",2010,2790
"DE",2011,2301
"DE",2012,1217
"DE",2013,395
"DE",2014,339
"DE",2015,240
"DE",2016,16
"DK",1963,13
"DK",1970,12
"DK",1971,19
"DK",1972,12
"DK",1975,22
"DK",1976,15
"DK",1980,9
"DK",1981,14
"DK",1982,18
"DK",1983,6
"DK",1984,30
"DK",1986,9
"DK",1987,17
"DK",1988,18
"DK",1989,49
"DK",1990,26
"DK",1991,67
"DK",1992,27
"DK",1993,68
"DK",1994,24
"DK",1995,52
"DK",1996,99
"DK",1997,85
"DK",1998,96
"DK",1999,120
"DK",2000,102
"DK",2001,71
"DK",2002,133
"DK",2003,307
"DK",2004,109
"DK",2005,180
"DK",2006,107
"DK",2007,126
"DK",2008,177
"DK",2009,140
"DK",2010,109
"DK",2011,84
"DK",2012,57
"DK",2013,12
"DK",2014,1
"DO",1996,12
"DO",2002,10
"DO",2009,14
"EE",1992,16
"EE",1996,30
"EE",1999,14
"EE",2000,8
"EE",2001,49
"EE",2003,12
"EE",2006,21
"EE",2007,24
"EE",2008,13
"EE",2009,22
"EE",2011,16
"EE",2012,31
"ES",1968,13
"ES",1969,13
"ES",1971,30
"ES",1974,12
"ES",1975,29
"ES",1976,18
"ES",1977,25
"ES",1978,9
"ES",1979,61
"ES",1980,80
"ES",1981,48
"ES",1982,70
"ES",1983,38
"ES",1984,85
"ES",1985,95
"ES",1986,70
"ES",1987,128
"ES",1988,114
"ES",1989,86
"ES",1990,120
"ES",1991,89
"ES",1992,106
"ES",1993,111
"ES",1994,150
"ES",1995,228
"ES",1996,258
"ES",1997,299
"ES",1998,312
"ES",1999,472
"ES",2000,314
"ES",2001,522
"ES",2002,514
"ES",2003,748
"ES",2004,717
"ES",2005,646
"ES",2006,575
"ES",2007,641
"ES",2008,519
"ES",2009,363
"ES",2010,321
"ES",2011,222
"ES",2012,29
"ES",2013,19
"ES",2014,19
"FI",1972,9
"FI",1975,14
"FI",1976,14
"FI",1977,17
"FI",1978,27
"FI",1979,24
"FI",1980,42
"FI",1981,23
"FI",1982,21
"FI",1983,28
"FI",1984,32
"FI",1985,30
"FI",1986,73
"FI",1987,82
"FI",1988,46
"FI",1989,74
"FI",1990,114
"FI",1991,165
"FI",1992,102
"FI",1993,136
"FI",1994,119
"FI",1995,153
"FI",1996,288
"FI",1997,278
"FI",1998,325
"FI",1999,335
"FI",2000,418
"FI",2001,564
"FI",2002,577
"FI",2003,660
"FI",2004,749
"FI",2005,778
"FI",2006,958
"FI",2007,708
"FI",2008,863
"FI",2009,636
"FI",2010,466
"FI",2011,265
"FI",2012,229
"FI",2013,40
"FI",2014,13
"FI",2015,10
"FO",2000,4
"FO",2002,2
"FO",2010,5
"FO",2013,6
"FR",1951,9
"FR",1953,17
"FR",1955,4
"FR",1957,4
"FR",1958,40
"FR",1959,41
"FR",1960,24
"FR",1961,46
"FR",1962,36
"FR",1963,79
"FR",1964,115
"FR",1965,103
"FR",1966,75
"FR",1967,79
"FR",1968,100
"FR",1969,110
"FR",1970,45
"FR",1971,117
"FR",1972,145
"FR",1973,201
"FR",1974,105
"FR",1975,158
"FR",1976,213
"FR",1977,150
"FR",1978,202
"FR",1979,205
"FR",1980,184
"FR",1981,240
"FR",1982,122
"FR",1983,144
"FR",1984,171
"FR",1985,290
"FR",1986,211
"FR",1987,183
"FR",1988,383
"FR",1989,367
"FR",1990,509
"FR",1991,486
"FR",1992,514
"FR",1993,444
"FR",1994,590
"FR",1995,636
"FR",1996,916
"FR",1997,829
"FR",1998,643
"FR",1999,604
"FR",2000,1016
"FR",2001,1086
"FR",2002,1009
"FR",2003,1199
"FR",2004,1139
"FR",2005,1094
"FR",2006,1159
"FR",2007,1100
"FR",2008,1125
"FR",2009,1071
"FR",2010,723
"FR",2011,696
"FR",2012,282
"FR",2013,87
"FR",2014,105
"FR",2015,22
"FR",2016,10
"GB",1828,24
"GB",1955,24
"GB",1957,34
"GB",1958,14
"GB",1959,32
"GB",1960,79
"GB",1961,95
"GB",1962,20
"GB",1963,48
"GB",1964,120
"GB",1965,316
"GB",1966,129
"GB",1967,427
"GB",1968,611
"GB",1969,623
"GB",1970,799
"GB",1971,821
"GB",1972,892
"GB",1973,704
"GB",1974,855
"GB",1975,870
"GB",1976,574
"GB",1977,716
"GB",1978,1014
"GB",1979,1064
"GB",1980,1016
"GB",1981,1213
"GB",1982,1104
"GB",1983,1174
"GB",1984,1056
"GB",1985,1139
"GB",1986,976
"GB",1987,1312
"GB",1988,1126
"GB",1989,1087
"GB",1990,1534
"GB",1991,1461
"GB",1992,1674
"GB",1993,1764
"GB",1994,2131
"GB",1995,2185
"GB",1996,2599
"GB",1997,2314
"GB",1998,2279
"GB",1999,2087
"GB",2000,2952
"GB",2001,3301
"GB",2002,3727
"GB",2003,3605
"GB",2004,3186
"GB",2005,3669
"GB",2006,3749
"GB",2007,3576
"GB",2008,3459
"GB",2009,3196
"GB",2010,3102
"GB",2011,1938
"GB",2012,1017
"GB",2013,452
"GB",2014,194
"GB",2015,124
"GL",2000,10
"GL",2001,12
"GR",1969,9
"GR",1982,13
"GR",1993,8
"GR",1994,29
"GR",1995,36
"GR",1996,18
"GR",1997,10
"GR",1998,15
"GR",1999,10
"GR",2000,40
"GR",2001,17
"GR",2002,19
"GR",2003,75
"GR",2004,42
