"country","code","name","code_2","count_song","year","count_album","count_artist"
"AE","ARE","United Arab Emirates","AE",7,2008,1,NA
"AR","ARG","Argentina","AR",13,1968,1,NA
"AR","ARG","Argentina","AR",23,1971,2,NA
"AR","ARG","Argentina","AR",18,1972,2,NA
"AR","ARG","Argentina","AR",26,1973,3,NA
"AR","ARG","Argentina","AR",34,1976,4,NA
"AR","ARG","Argentina","AR",12,1977,2,NA
"AR","ARG","Argentina","AR",3,1978,1,NA
"AR","ARG","Argentina","AR",10,1979,1,NA
"AR","ARG","Argentina","AR",49,1981,4,NA
"AR","ARG","Argentina","AR",32,1982,3,NA
"AR","ARG","Argentina","AR",47,1983,5,NA
"AR","ARG","Argentina","AR",50,1984,5,NA
"AR","ARG","Argentina","AR",75,1985,8,NA
"AR","ARG","Argentina","AR",27,1986,3,NA
"AR","ARG","Argentina","AR",43,1987,4,NA
"AR","ARG","Argentina","AR",60,1988,6,NA
"AR","ARG","Argentina","AR",102,1989,10,NA
"AR","ARG","Argentina","AR",63,1990,6,NA
"AR","ARG","Argentina","AR",93,1991,9,NA
"AR","ARG","Argentina","AR",73,1992,6,NA
"AR","ARG","Argentina","AR",113,1993,8,NA
"AR","ARG","Argentina","AR",134,1994,11,NA
"AR","ARG","Argentina","AR",190,1995,12,NA
"AR","ARG","Argentina","AR",222,1996,15,NA
"AR","ARG","Argentina","AR",233,1997,16,NA
"AR","ARG","Argentina","AR",155,1998,12,NA
"AR","ARG","Argentina","AR",199,1999,14,NA
"AR","ARG","Argentina","AR",334,2000,18,NA
"AR","ARG","Argentina","AR",247,2001,16,NA
"AR","ARG","Argentina","AR",141,2002,10,NA
"AR","ARG","Argentina","AR",212,2003,16,NA
"AR","ARG","Argentina","AR",195,2004,14,NA
"AR","ARG","Argentina","AR",186,2005,14,NA
"AR","ARG","Argentina","AR",252,2006,20,NA
"AR","ARG","Argentina","AR",275,2007,21,NA
"AR","ARG","Argentina","AR",157,2008,11,NA
"AR","ARG","Argentina","AR",65,2009,5,NA
"AR","ARG","Argentina","AR",132,2010,10,NA
"AR","ARG","Argentina","AR",27,2011,2,NA
"AR","ARG","Argentina","AR",12,2012,1,NA
"AT","AUS","Australia","AU",14,1961,1,NA
"AT","AUS","Australia","AU",22,1963,2,NA
"AT","AUS","Australia","AU",15,1965,1,NA
"AT","AUS","Australia","AU",21,1966,1,NA
"AT","AUS","Australia","AU",23,1968,2,NA
"AT","AUS","Australia","AU",14,1971,1,NA
"AT","AUS","Australia","AU",25,1972,2,NA
"AT","AUS","Australia","AU",27,1973,2,NA
"AT","AUS","Australia","AU",12,1974,1,NA
"AT","AUS","Australia","AU",24,1975,2,NA
"AT","AUS","Australia","AU",39,1976,3,NA
"AT","AUS","Australia","AU",75,1977,2,NA
"AT","AUS","Australia","AU",56,1978,5,NA
"AT","AUS","Australia","AU",39,1979,3,NA
"AT","AUS","Australia","AU",38,1980,3,NA
"AT","AUS","Australia","AU",71,1981,4,NA
"AT","AUS","Australia","AU",10,1982,1,NA
"AT","AUS","Australia","AU",31,1983,3,NA
"AT","AUS","Australia","AU",26,1984,2,NA
"AT","AUS","Australia","AU",42,1985,3,NA
"AT","AUS","Australia","AU",31,1986,3,NA
"AT","AUS","Australia","AU",20,1987,2,NA
"AT","AUS","Australia","AU",47,1988,4,NA
"AT","AUS","Australia","AU",35,1989,3,NA
"AT","AUS","Australia","AU",91,1990,5,NA
"AT","AUS","Australia","AU",129,1991,7,NA
"AT","AUS","Australia","AU",74,1992,6,NA
"AT","AUS","Australia","AU",55,1993,4,NA
"AT","AUS","Australia","AU",71,1994,7,NA
"AT","AUS","Australia","AU",143,1995,9,NA
"AT","AUS","Australia","AU",117,1996,9,NA
"AT","AUS","Australia","AU",80,1997,8,NA
"AT","AUS","Australia","AU",116,1998,12,NA
"AT","AUS","Australia","AU",153,1999,15,NA
"AT","AUS","Australia","AU",80,2000,9,NA
"AT","AUS","Australia","AU",115,2001,9,NA
"AT","AUS","Australia","AU",118,2002,12,NA
"AT","AUS","Australia","AU",97,2003,8,NA
"AT","AUS","Australia","AU",200,2004,19,NA
"AT","AUS","Australia","AU",161,2005,14,NA
"AT","AUS","Australia","AU",209,2006,14,NA
"AT","AUS","Australia","AU",245,2007,17,NA
"AT","AUS","Australia","AU",259,2008,18,NA
"AT","AUS","Australia","AU",169,2009,13,NA
"AT","AUS","Australia","AU",82,2010,8,NA
"AT","AUS","Australia","AU",84,2011,7,NA
"AT","AUS","Australia","AU",51,2012,3,NA
"AT","AUS","Australia","AU",94,2013,4,NA
"AT","AUS","Australia","AU",13,2014,1,NA
"AT","AUS","Australia","AU",35,2015,2,NA
"AU","AUT","Austria","AT",36,1965,2,NA
"AU","AUT","Austria","AT",61,1966,3,NA
"AU","AUT","Austria","AT",24,1967,2,NA
"AU","AUT","Austria","AT",32,1968,2,NA
"AU","AUT","Austria","AT",8,1971,1,NA
"AU","AUT","Austria","AT",52,1973,4,NA
"AU","AUT","Austria","AT",19,1974,2,NA
"AU","AUT","Austria","AT",21,1975,2,NA
"AU","AUT","Austria","AT",44,1976,4,NA
"AU","AUT","Austria","AT",30,1977,3,NA
"AU","AUT","Austria","AT",28,1978,3,NA
"AU","AUT","Austria","AT",95,1979,7,NA
"AU","AUT","Austria","AT",68,1980,6,NA
"AU","AUT","Austria","AT",41,1981,4,NA
"AU","AUT","Austria","AT",49,1982,5,NA
"AU","AUT","Austria","AT",43,1983,4,NA
"AU","AUT","Austria","AT",34,1984,3,NA
"AU","AUT","Austria","AT",23,1985,2,NA
"AU","AUT","Austria","AT",79,1986,8,NA
"AU","AUT","Austria","AT",59,1987,4,NA
"AU","AUT","Austria","AT",126,1988,9,NA
"AU","AUT","Austria","AT",123,1989,9,NA
"AU","AUT","Austria","AT",206,1990,15,NA
"AU","AUT","Austria","AT",218,1991,16,NA
"AU","AUT","Austria","AT",163,1992,14,NA
"AU","AUT","Austria","AT",74,1993,7,NA
"AU","AUT","Austria","AT",227,1994,15,NA
"AU","AUT","Austria","AT",235,1995,21,NA
"AU","AUT","Austria","AT",245,1996,18,NA
"AU","AUT","Austria","AT",236,1997,18,NA
"AU","AUT","Austria","AT",358,1998,26,NA
"AU","AUT","Austria","AT",246,1999,20,NA
"AU","AUT","Austria","AT",452,2000,33,NA
"AU","AUT","Austria","AT",313,2001,27,NA
"AU","AUT","Austria","AT",444,2002,33,NA
"AU","AUT","Austria","AT",462,2003,35,NA
"AU","AUT","Austria","AT",760,2004,60,NA
"AU","AUT","Austria","AT",466,2005,44,NA
"AU","AUT","Austria","AT",640,2006,50,NA
"AU","AUT","Austria","AT",628,2007,50,NA
"AU","AUT","Austria","AT",665,2008,55,NA
"AU","AUT","Austria","AT",353,2009,34,NA
"AU","AUT","Austria","AT",387,2010,33,NA
"AU","AUT","Austria","AT",220,2011,20,NA
"AU","AUT","Austria","AT",166,2012,14,NA
"AU","AUT","Austria","AT",93,2013,8,NA
"AU","AUT","Austria","AT",49,2014,4,NA
"AU","AUT","Austria","AT",28,2015,2,NA
"BA","BHR","Bahrain","BH",10,1995,1,NA
"BA","BHR","Bahrain","BH",11,2004,1,NA
"BA","BHR","Bahrain","BH",10,2006,1,NA
